"Date","chamber","Diameter"
2008-06-02,"ch14",6.23
2008-06-02,"ch15",5.63
2008-06-02,"ch16",6.03947017543758
2008-06-02,"ch17",5.95
2008-06-02,"ch18",6.09
2008-06-16,"ch01",6.15
2008-06-16,"ch02",5.52
2008-06-16,"ch03",6.83
2008-06-16,"ch04",5.05
2008-06-16,"ch05",5.93
2008-06-16,"ch06",4.42
2008-06-16,"ch07",5.4
2008-06-16,"ch08",6.9
2008-06-16,"ch09",6.63
2008-06-16,"ch10",4.73
2008-06-16,"ch11",5.45
2008-06-16,"ch12",4.65
2008-06-16,"ch13",4.94
2008-06-16,"ch14",6.35
2008-06-16,"ch15",5.83
2008-06-16,"ch16",6.1934239318813
2008-06-16,"ch17",6.02
2008-06-16,"ch18",6.39
2008-07-01,"ch01",6.32
2008-07-01,"ch02",5.7
2008-07-01,"ch03",6.88
2008-07-01,"ch04",5.21
2008-07-01,"ch05",6.11
2008-07-01,"ch06",4.48
2008-07-01,"ch07",5.55
2008-07-01,"ch08",7.01
2008-07-01,"ch09",6.74
2008-07-01,"ch10",4.87
2008-07-01,"ch11",5.67
2008-07-01,"ch12",4.76
2008-07-01,"ch13",5.07
2008-07-01,"ch14",6.52
2008-07-01,"ch15",5.86
2008-07-01,"ch16",6.40726150551076
2008-07-01,"ch17",6.02
2008-07-01,"ch18",6.49
2008-07-16,"ch01",6.54
2008-07-16,"ch02",5.825
2008-07-16,"ch03",7.095
2008-07-16,"ch04",5.38
2008-07-16,"ch05",6.36
2008-07-16,"ch06",4.705
2008-07-16,"ch07",5.75
2008-07-16,"ch08",7.37
2008-07-16,"ch09",6.935
2008-07-16,"ch10",5.125
2008-07-16,"ch11",5.925
2008-07-16,"ch12",4.96
2008-07-16,"ch13",5.24
2008-07-16,"ch14",6.625
2008-07-16,"ch15",6.06
2008-07-16,"ch16",6.42612830559739
2008-07-16,"ch17",6.215
2008-07-16,"ch18",6.475
2008-07-29,"ch01",6.49
2008-07-29,"ch02",5.85
2008-07-29,"ch03",7.1
2008-07-29,"ch04",5.42
2008-07-29,"ch05",6.45
2008-07-29,"ch06",4.63
2008-07-29,"ch07",5.82
2008-07-29,"ch08",7.21
2008-07-29,"ch09",7.06
2008-07-29,"ch10",5.15
2008-07-29,"ch11",5.94
2008-07-29,"ch12",4.98
2008-07-29,"ch13",5.23
2008-07-29,"ch14",6.65
2008-07-29,"ch15",6.06
2008-07-29,"ch16",6.43307857872108
2008-07-29,"ch17",6.3
2008-07-29,"ch18",6.68
2008-08-20,"ch01",6.65
2008-08-20,"ch02",6.05
2008-08-20,"ch03",7.53
2008-08-20,"ch04",5.62
2008-08-20,"ch05",6.8
2008-08-20,"ch06",4.74
2008-08-20,"ch07",6.06
2008-08-20,"ch08",7.68
2008-08-20,"ch09",7.27
2008-08-20,"ch10",5.39
2008-08-20,"ch11",5.94
2008-08-20,"ch12",5.31
2008-08-20,"ch13",5.47
2008-08-20,"ch14",6.75
2008-08-20,"ch15",6.33
2008-08-20,"ch16",6.59469483751902
2008-08-20,"ch17",6.52
2008-08-20,"ch18",6.53
2008-09-17,"ch01",7.45
2008-09-17,"ch02",6.6
2008-09-17,"ch03",8.35
2008-09-17,"ch04",6.3
2008-09-17,"ch05",7.4
2008-09-17,"ch06",5.12
2008-09-17,"ch07",6.68
2008-09-17,"ch08",8.1
2008-09-17,"ch09",8
2008-09-17,"ch10",5.98
2008-09-17,"ch11",6.95
2008-09-17,"ch12",6
2008-09-17,"ch13",5.7
2008-09-17,"ch14",7.2
2008-09-17,"ch15",6.8
2008-09-17,"ch16",7.0178344238091
2008-09-17,"ch17",7
2008-09-17,"ch18",7.3
2008-10-01,"ch01",7.85
2008-10-01,"ch02",6.91
2008-10-01,"ch03",8.9
2008-10-01,"ch04",6.59
2008-10-01,"ch05",7.73
2008-10-01,"ch06",5.5
2008-10-01,"ch07",7
2008-10-01,"ch08",8.45
2008-10-01,"ch09",8.41
2008-10-01,"ch10",6.39
2008-10-01,"ch11",7.31
2008-10-01,"ch12",6.25
2008-10-01,"ch13",6.03
2008-10-01,"ch14",7.5
2008-10-01,"ch15",7.05
2008-10-01,"ch16",7.33120726756515
2008-10-01,"ch17",7.14
2008-10-01,"ch18",7.57
2008-10-14,"ch01",8.25
2008-10-14,"ch02",7.15
2008-10-14,"ch03",9.22
2008-10-14,"ch04",6.76
2008-10-14,"ch05",8.05
2008-10-14,"ch06",5.78
2008-10-14,"ch07",7.32
2008-10-14,"ch08",8.79
2008-10-14,"ch09",8.82
2008-10-14,"ch10",6.69
2008-10-14,"ch11",7.7
2008-10-14,"ch12",6.5
2008-10-14,"ch13",6.29
2008-10-14,"ch14",7.88
2008-10-14,"ch15",7.43
2008-10-14,"ch16",7.67283519958561
2008-10-14,"ch17",7.41
2008-10-14,"ch18",7.98
2008-10-28,"ch01",8.53
2008-10-28,"ch02",7.43
2008-10-28,"ch03",9.45
2008-10-28,"ch04",6.9
2008-10-28,"ch05",8.2
2008-10-28,"ch06",5.95
2008-10-28,"ch07",7.55
2008-10-28,"ch08",9.22
2008-10-28,"ch09",9.1
2008-10-28,"ch10",6.98
2008-10-28,"ch11",7.9
2008-10-28,"ch12",6.7
2008-10-28,"ch13",6.5
2008-10-28,"ch14",8.15
2008-10-28,"ch15",7.8
2008-10-28,"ch16",7.93977329651168
2008-10-28,"ch17",7.6
2008-10-28,"ch18",8.13
2008-11-11,"ch01",8.75
2008-11-11,"ch02",7.75
2008-11-11,"ch03",9.8
2008-11-11,"ch04",7.1
2008-11-11,"ch05",8.42
2008-11-11,"ch06",6.1
2008-11-11,"ch07",7.8
2008-11-11,"ch08",9.3
2008-11-11,"ch09",9.4
2008-11-11,"ch10",7.23
2008-11-11,"ch11",8.1
2008-11-11,"ch12",6.85
2008-11-11,"ch13",6.75
2008-11-11,"ch14",8.3
2008-11-11,"ch15",8.05
2008-11-11,"ch16",7.99721201419595
2008-11-11,"ch17",7.73
2008-11-11,"ch18",7.98
2008-12-09,"ch01",9.3
2008-12-09,"ch02",8.4
2008-12-09,"ch03",10.6
2008-12-09,"ch04",7.6
2008-12-09,"ch05",8.75
2008-12-09,"ch06",6.45
2008-12-09,"ch07",8.18
2008-12-09,"ch08",9.8
2008-12-09,"ch09",10.08
2008-12-09,"ch10",7.65
2008-12-09,"ch11",8.75
2008-12-09,"ch12",7.35
2008-12-09,"ch13",7.12
2008-12-09,"ch14",9.08
2008-12-09,"ch15",8.75
2008-12-09,"ch16",8.20432203170987
2008-12-09,"ch17",8.2
2008-12-09,"ch18",8.15
2008-12-23,"ch01",9.55
2008-12-23,"ch02",8.63
2008-12-23,"ch03",10.95
2008-12-23,"ch04",7.85
2008-12-23,"ch05",8.9
2008-12-23,"ch06",6.65
2008-12-23,"ch07",8.3
2008-12-23,"ch08",9.98
2008-12-23,"ch09",10.38
2008-12-23,"ch10",7.8
2008-12-23,"ch11",8.93
2008-12-23,"ch12",7.65
2008-12-23,"ch13",7.35
2008-12-23,"ch14",9.22
2008-12-23,"ch15",9.12
2008-12-23,"ch16",8.42344347639373
2008-12-23,"ch17",8.45
2008-12-23,"ch18",8.3
2009-01-05,"ch01",9.9
2009-01-05,"ch02",8.9
2009-01-05,"ch03",11.38
2009-01-05,"ch04",8.05
2009-01-05,"ch05",9.05
2009-01-05,"ch06",6.85
2009-01-05,"ch07",8.48
2009-01-05,"ch08",10.3
2009-01-05,"ch09",10.63
2009-01-05,"ch10",7.88
2009-01-05,"ch11",9.25
2009-01-05,"ch13",7.5
2009-01-05,"ch14",9.3
2009-01-05,"ch15",9.55
2009-01-05,"ch16",8.51359501033494
2009-01-05,"ch17",8.73
2009-01-05,"ch18",8.5
2009-01-20,"ch01",9.95
2009-01-20,"ch02",9
2009-01-20,"ch03",11.73
2009-01-20,"ch04",8.22
2009-01-20,"ch05",9.12
2009-01-20,"ch06",7.05
2009-01-20,"ch07",8.48
2009-01-20,"ch08",10.4
2009-01-20,"ch09",10.78
2009-01-20,"ch10",7.9
2009-01-20,"ch11",9.4
2009-01-20,"ch12",7.95
2009-01-20,"ch13",7.68
2009-01-20,"ch14",9.42
2009-01-20,"ch15",9.88
2009-01-20,"ch16",8.54707552324185
2009-01-20,"ch17",8.82
2009-01-20,"ch18",8.55
2009-02-03,"ch01",10.3
2009-02-03,"ch02",9.2
2009-02-03,"ch03",12.2
2009-02-03,"ch04",8.5
2009-02-03,"ch05",9.2
2009-02-03,"ch06",7.4
2009-02-03,"ch07",8.7
2009-02-03,"ch08",10.7
2009-02-03,"ch09",11.2
2009-02-03,"ch10",8.05
2009-02-03,"ch11",9.6
2009-02-03,"ch12",8
2009-02-03,"ch14",9.5
2009-02-03,"ch15",10.1
2009-02-17,"ch01",10.3
2009-02-17,"ch02",9.4
2009-02-17,"ch03",12.5
2009-02-17,"ch04",8.55
2009-02-17,"ch05",9.2
2009-02-17,"ch06",7.4
2009-02-17,"ch07",8.7
2009-02-17,"ch08",10.75
2009-02-17,"ch09",11.1
2009-02-17,"ch10",8
2009-02-17,"ch11",9.6
2009-02-17,"ch12",8.1
2009-02-17,"ch13",8.3
2009-02-17,"ch14",9.6
2009-02-17,"ch15",10.3
2009-02-17,"ch16",8.76427407147905
2009-02-17,"ch17",9.15
2009-02-17,"ch18",8.85
2009-03-16,"ch01",10.6
2009-03-16,"ch02",10
2009-03-16,"ch03",13
2009-03-16,"ch04",8.9
2009-03-16,"ch05",9.7
2009-03-16,"ch06",7.8
2009-03-16,"ch07",9.1
2009-03-16,"ch08",11.1
2009-03-16,"ch09",11.6
2009-03-16,"ch10",8.5
2009-03-16,"ch11",10.2
2009-03-16,"ch12",8.8
2009-03-16,"ch13",8.5
2009-03-16,"ch14",10.1
2009-03-16,"ch15",11.1
2009-03-16,"ch16",9.4493386011932
2009-03-16,"ch17",9.7
2009-03-16,"ch18",8.9
