CHAMBER,DATE,DEPTH,ROOT_LENGTHraw,ROOT_LENGTH,ROOT_MASSraw,ROOT_MASS
ch12,4/04/2008,45-60,0,0,0,0
ch13,4/04/2008,0-15,171.3,22.4,16.18,2.1
ch13,4/04/2008,15-30,25.6,3.4,1.61,0.2
ch13,4/04/2008,30-45,29.9,3.9,3.35,0.4
ch13,4/04/2008,45-60,62.7,8.2,4.56,0.6
ch14,4/04/2008,0-15,55,7.2,4.82,0.6
ch14,4/04/2008,15-30,37.3,4.9,8.92,1.2
ch14,4/04/2008,30-45,0,0,0,0
ch14,4/04/2008,45-60,124.6,16.3,22.62,3
ch15,4/04/2008,0-15,0,0,0,0
ch15,4/04/2008,15-30,0,0,0,0
ch15,4/04/2008,30-45,0,0,0,0
ch15,4/04/2008,45-60,0,0,0,0
ch16,4/04/2008,0-15,35.9,4.7,6.13,0.8
ch16,4/04/2008,15-30,78.8,10.3,5.97,0.8
ch16,4/04/2008,30-45,106.6,14,9.26,1.2
ch16,4/04/2008,45-60,466.7,61.1,48.24,6.3
ch17,4/04/2008,0-15,0,0,0,0
ch17,4/04/2008,15-30,0,0,0,0
ch17,4/04/2008,30-45,0,0,0,0
ch17,4/04/2008,45-60,0,0,0,0
ch18,4/04/2008,0-15,124.9,16.4,22.15,2.9
ch18,4/04/2008,15-30,43.3,5.7,20.1,2.6
ch18,4/04/2008,30-45,42.9,5.6,5.37,0.7
ch18,4/04/2008,45-60,55.3,7.2,7.32,1
ch01,24/04/2008,0-15,165.7,21.7,15.87,2.1
ch01,24/04/2008,15-30,183.1,24,16.37,2.1
ch01,24/04/2008,30-45,101.6,13.3,19.47,2.6
ch01,24/04/2008,45-60,323,42.3,47.65,6.2
ch02,24/04/2008,0-15,78.7,10.3,5.84,0.8
ch02,24/04/2008,15-30,14.8,1.9,0.93,0.1
ch02,24/04/2008,30-45,8.4,1.1,1.2,0.2
ch02,24/04/2008,45-60,85.7,11.2,7.69,1
ch03,24/04/2008,0-15,112.4,14.7,20.92,2.7
ch03,24/04/2008,15-30,9.4,1.2,1.34,0.2
ch03,24/04/2008,30-45,14,1.8,0.88,0.1
ch03,24/04/2008,45-60,126.4,16.6,15.36,2
ch04,24/04/2008,0-15,7.5,1,3.4,0.4
ch04,24/04/2008,15-30,45.4,5.9,7.62,1
ch04,24/04/2008,30-45,11.8,1.6,1.18,0.2
ch04,24/04/2008,45-60,12.3,1.6,3.94,0.5
ch05,24/04/2008,0-15,21.8,2.9,4.86,0.6
ch05,24/04/2008,15-30,61.3,8,17.94,2.4
ch05,24/04/2008,30-45,0,0,0,0
ch05,24/04/2008,45-60,71.8,9.4,5.63,0.7
ch06,24/04/2008,0-15,75.9,10,20.19,2.6
ch06,24/04/2008,15-30,21.9,2.9,1.38,0.2
ch06,24/04/2008,30-45,18.9,2.5,4.27,0.6
ch06,24/04/2008,45-60,0,0,0,0
ch07,24/04/2008,0-15,289.5,37.9,41.97,5.5
ch07,24/04/2008,15-30,263.1,34.5,76.77,10.1
ch07,24/04/2008,30-45,40.7,5.3,4.04,0.5
ch07,24/04/2008,45-60,0,0,0,0
ch08,24/04/2008,0-15,90.9,11.9,23.7,3.1
ch08,24/04/2008,15-30,15.8,2.1,1.54,0.2
ch08,24/04/2008,30-45,80.8,10.6,8.38,1.1
ch08,24/04/2008,45-60,0,0,0,0
ch09,24/04/2008,0-15,22.4,2.9,3.2,0.4
ch09,24/04/2008,15-30,15.3,2,0.96,0.1
ch09,24/04/2008,30-45,59.6,7.8,5.21,0.7
ch09,24/04/2008,45-60,0,0,0,0
ch10,24/04/2008,0-15,164.6,21.6,23.12,3
ch10,24/04/2008,15-30,32.3,4.2,7.57,1
ch10,24/04/2008,30-45,14,1.8,2,0.3
ch10,24/04/2008,45-60,0,0,0,0
ch11,24/04/2008,0-15,116.7,15.3,2,0.3
ch11,24/04/2008,15-30,32.8,4.3,0.84,0.1
ch11,24/04/2008,30-45,49.6,6.5,10.49,1.4
ch11,24/04/2008,45-60,24.2,3.2,0.97,0.1
ch12,24/04/2008,0-15,133.8,17.5,22.17,2.9
ch12,24/04/2008,15-30,189.4,24.8,49.3,6.5
ch12,24/04/2008,30-45,39.1,5.1,3.03,0.4
ch12,24/04/2008,45-60,0,0,0,0
ch13,24/04/2008,0-15,131.2,17.2,0,0
ch13,24/04/2008,15-30,31.5,4.1,2.33,0.3
ch13,24/04/2008,30-45,26.3,3.4,2.85,0.4
ch13,24/04/2008,45-60,74.1,9.7,5.15,0.7
ch14,24/04/2008,0-15,46.4,6.1,4.48,0.6
ch14,24/04/2008,15-30,37.8,4.9,10.58,1.4
ch14,24/04/2008,30-45,0,0,0,0
ch14,24/04/2008,45-60,171.9,22.5,32.04,4.2
ch15,24/04/2008,0-15,0,0,0,0
ch15,24/04/2008,15-30,0,0,0,0
ch15,24/04/2008,30-45,0,0,0,0
ch15,24/04/2008,45-60,0,0,0,0
ch16,24/04/2008,0-15,52.5,6.9,8.44,1.1
ch16,24/04/2008,15-30,74.8,9.8,5.82,0.8
ch16,24/04/2008,30-45,110.8,14.5,9.76,1.3
ch16,24/04/2008,45-60,470.4,61.6,53.26,7
ch17,24/04/2008,0-15,0,0,0,0
ch17,24/04/2008,15-30,0,0,0,0
ch17,24/04/2008,30-45,0,0,0,0
ch17,24/04/2008,45-60,0,0,0,0
ch18,24/04/2008,0-15,98.9,13,23.18,3
ch18,24/04/2008,15-30,65.7,8.6,23.87,3.1
ch18,24/04/2008,30-45,106.6,14,16.83,2.2
ch18,24/04/2008,45-60,59.4,7.8,7.82,1
ch01,12/03/2008,0-15,198.2,26,27.1,3.6
ch01,12/03/2008,15-30,173.3,22.7,13.14,1.7
ch01,12/03/2008,30-45,111.8,14.7,20.81,2.7
ch01,12/03/2008,45-60,320.2,42,64.56,8.5
ch02,12/03/2008,0-15,99.1,13,10.91,1.4
ch02,12/03/2008,15-30,27.1,3.6,2.66,0.3
ch02,12/03/2008,30-45,41,5.4,3.22,0.4
ch02,12/03/2008,45-60,73.8,9.7,5.17,0.7
ch03,12/03/2008,0-15,50.8,6.7,25.94,3.4
ch03,12/03/2008,15-30,0,0,0,0
ch03,12/03/2008,30-45,13.2,1.7,1.88,0.2
ch03,12/03/2008,45-60,176.8,23.2,22.2,2.9
ch04,12/03/2008,0-15,35.1,4.6,6.88,0.9
ch04,12/03/2008,15-30,60.2,7.9,10.54,1.4
ch04,12/03/2008,30-45,38.4,5,5.48,0.7
ch04,12/03/2008,45-60,29.4,3.9,6.33,0.8
ch05,12/03/2008,0-15,12.3,1.6,1.2,0.2
ch05,12/03/2008,15-30,35.9,4.7,6.28,0.8
ch05,12/03/2008,30-45,0,0,0,0
ch05,12/03/2008,45-60,71.2,9.3,4.85,0.6
ch06,12/03/2008,0-15,136.3,17.9,18.14,2.4
ch06,12/03/2008,15-30,37.1,4.9,3.26,0.4
ch06,12/03/2008,30-45,29.6,3.9,6.86,0.9
ch06,12/03/2008,45-60,6.6,0.9,0.41,0.1
ch07,12/03/2008,0-15,284,37.2,40.84,5.4
ch07,12/03/2008,15-30,274.1,35.9,87.43,11.5
ch07,12/03/2008,30-45,39,5.1,3.96,0.5
ch07,12/03/2008,45-60,0,0,0,0
ch08,12/03/2008,0-15,37.4,4.9,15.47,2
ch08,12/03/2008,15-30,13.9,1.8,1.41,0.2
ch08,12/03/2008,30-45,72.1,9.4,5.89,0.8
ch08,12/03/2008,45-60,0,0,0,0
ch09,12/03/2008,0-15,46.3,6.1,5.14,0.7
ch09,12/03/2008,15-30,19.2,2.5,1.21,0.2
ch09,12/03/2008,30-45,70.5,9.2,7.09,0.9
ch09,12/03/2008,45-60,0,0,0,0
ch10,12/03/2008,0-15,164.8,21.6,34.83,4.6
ch10,12/03/2008,15-30,36,4.7,9.54,1.2
ch10,12/03/2008,30-45,14.9,2,2.13,0.3
ch10,12/03/2008,45-60,0,0,0,0
ch11,12/03/2008,0-15,129.2,16.9,2.58,0.3
ch11,12/03/2008,15-30,27.4,3.6,0.23,0
ch11,12/03/2008,30-45,49.5,6.5,10.73,1.4
ch11,12/03/2008,45-60,24,3.1,1.15,0.2
ch12,12/03/2008,0-15,175.8,23,23.96,3.1
ch12,12/03/2008,15-30,246.7,32.3,41.58,5.4
ch12,12/03/2008,30-45,37.6,4.9,3.02,0.4
ch12,12/03/2008,45-60,0,0,0,0
ch13,12/03/2008,0-15,219,28.7,19.61,2.6
ch13,12/03/2008,15-30,28.5,3.7,1.79,0.2
ch13,12/03/2008,30-45,26.6,3.5,3.31,0.4
ch13,12/03/2008,45-60,53.6,7,4.59,0.6
ch14,12/03/2008,0-15,68.6,9,6.26,0.8
ch14,12/03/2008,15-30,44.2,5.8,12.57,1.6
ch14,12/03/2008,30-45,3.8,0.5,0.24,0
ch14,12/03/2008,45-60,111.2,14.6,13.65,1.8
ch15,12/03/2008,0-15,0,0,0,0
ch15,12/03/2008,15-30,0,0,0,0
ch15,12/03/2008,30-45,0,0,0,0
ch15,12/03/2008,45-60,0,0,0,0
ch16,12/03/2008,0-15,37,4.8,4.91,0.6
ch16,12/03/2008,15-30,77.1,10.1,4.85,0.6
ch16,12/03/2008,30-45,100.6,13.2,13.76,1.8
ch16,12/03/2008,45-60,473.9,62.1,49.97,6.5
ch17,12/03/2008,0-15,0,0,0,0
ch17,12/03/2008,15-30,0,0,0,0
ch17,12/03/2008,30-45,0,0,0,0
ch17,12/03/2008,45-60,0,0,0,0
ch18,12/03/2008,0-15,101.8,13.3,18.69,2.4
ch18,12/03/2008,15-30,35.2,4.6,13.22,1.7
ch18,12/03/2008,30-45,43.1,5.6,5.81,0.8
ch18,12/03/2008,45-60,25.1,3.3,2.53,0.3
ch01,26/06/2008,0-15,77.4,10.1,20.85,2.7
ch01,26/06/2008,15-30,30.4,4,3.24,0.4
ch01,26/06/2008,30-45,58.2,7.6,12.29,1.6
ch01,26/06/2008,45-60,416.9,54.6,59.79,7.8
ch02,26/06/2008,0-15,56.1,7.4,4.88,0.6
ch02,26/06/2008,15-30,52.8,6.9,7.89,1
ch02,26/06/2008,30-45,8.6,1.1,1.24,0.2
ch02,26/06/2008,45-60,39.7,5.2,3.47,0.5
ch03,26/06/2008,0-15,63.2,8.3,0,0
ch03,26/06/2008,15-30,5.5,0.7,0.34,0
ch03,26/06/2008,30-45,14.1,1.9,2.02,0.3
ch03,26/06/2008,45-60,132,17.3,15.98,2.1
ch04,26/06/2008,0-15,23.3,3.1,6.29,0.8
ch04,26/06/2008,15-30,52.3,6.9,6.66,0.9
ch04,26/06/2008,30-45,45.7,6,5.11,0.7
ch04,26/06/2008,45-60,86.4,11.3,15.06,2
ch05,26/06/2008,0-15,16.1,2.1,1.48,0.2
ch05,26/06/2008,15-30,72.1,9.5,19.47,2.6
ch05,26/06/2008,30-45,0,0,0,0
ch05,26/06/2008,45-60,40,5.2,2.52,0.3
ch06,26/06/2008,0-15,52.4,6.9,13.72,1.8
ch06,26/06/2008,15-30,29.8,3.9,1.88,0.2
ch06,26/06/2008,30-45,15.7,2.1,4.51,0.6
ch06,26/06/2008,45-60,33.3,4.4,3.14,0.4
ch07,26/06/2008,0-15,208.1,27.3,0,0
ch07,26/06/2008,15-30,319.9,41.9,76.47,10
ch07,26/06/2008,30-45,28.4,3.7,2.85,0.4
ch07,26/06/2008,45-60,0,0,0,0
ch08,26/06/2008,0-15,35.2,4.6,21.23,2.8
ch08,26/06/2008,15-30,33,4.3,2.63,0.3
ch08,26/06/2008,30-45,73,9.6,6.53,0.9
ch08,26/06/2008,45-60,0,0,0,0
ch09,26/06/2008,0-15,0,0,0,0
ch09,26/06/2008,15-30,0,0,0,0
ch09,26/06/2008,30-45,76,10,6.75,0.9
ch09,26/06/2008,45-60,11.6,1.5,0.73,0.1
ch10,26/06/2008,0-15,44.6,5.8,18.77,2.5
ch10,26/06/2008,15-30,37.5,4.9,7.63,1
ch10,26/06/2008,30-45,0,0,0,0
ch10,26/06/2008,45-60,0,0,0,0
ch11,26/06/2008,0-15,114.6,15,4.63,0.6
ch11,26/06/2008,15-30,33.8,4.4,0.63,0.1
ch11,26/06/2008,30-45,51.1,6.7,10.8,1.4
ch11,26/06/2008,45-60,16.9,2.2,0.56,0.1
ch12,26/06/2008,0-15,100.9,13.2,13.9,1.8
ch12,26/06/2008,15-30,181.4,23.8,41.14,5.4
ch12,26/06/2008,30-45,14.1,1.8,1.45,0.2
ch12,26/06/2008,45-60,6.6,0.9,0.94,0.1
ch13,26/06/2008,0-15,100,13.1,11.06,1.4
ch13,26/06/2008,15-30,27.2,3.6,2.98,0.4
ch13,26/06/2008,30-45,31.7,4.1,6.12,0.8
ch13,26/06/2008,45-60,85.9,11.3,7.18,0.9
ch14,26/06/2008,0-15,37,4.8,6.33,0.8
ch14,26/06/2008,15-30,18.9,2.5,6.02,0.8
ch14,26/06/2008,30-45,0,0,0,0
ch14,26/06/2008,45-60,171.9,22.5,73.33,9.6
ch15,26/06/2008,0-15,0,0,0,0
ch15,26/06/2008,15-30,0,0,0,0
ch15,26/06/2008,30-45,0,0,0,0
ch15,26/06/2008,45-60,0,0,0,0
ch16,26/06/2008,0-15,33.7,4.4,5.83,0.8
ch16,26/06/2008,15-30,44.8,5.9,3.96,0.5
ch16,26/06/2008,30-45,92.3,12.1,8.15,1.1
ch16,26/06/2008,45-60,451.4,59.2,51.73,6.8
ch17,26/06/2008,0-15,0,0,0,0
ch17,26/06/2008,15-30,0,0,0,0
ch17,26/06/2008,30-45,0,0,0,0
ch17,26/06/2008,45-60,0,0,0,0
ch18,26/06/2008,0-15,12.8,1.7,1.83,0.2
ch18,26/06/2008,15-30,71.7,9.4,43.06,5.6
ch18,26/06/2008,30-45,172,22.5,26.17,3.4
ch18,26/06/2008,45-60,141.1,18.5,29.16,3.8
